Title,Time,Artist,Album,Genre,Heart,Plays
Warm Ways (Early Take),3:54,Fleetwood Mac,Fleetwood Mac (Deluxe),Rock,0,5
Over My Head (Live),3:23,Fleetwood Mac,Fleetwood Mac: Live,Rock,0,5
Rhiannon (Live),7:48,Fleetwood Mac,Fleetwood Mac: Live,Rock,0,5
Only Over You,4:10,Fleetwood Mac,Mirage (Deluxe),Pop,0,5
Don't Stop (Live),3:52,Fleetwood Mac,Rumours,Rock,0,5
Go Your Own Way (Live),4:54,Fleetwood Mac,Rumours,Rock,0,5
I Don't Want To Do It (2009 Mix),2:55,George Harrison,Let It Roll: Songs of George Harrison,Pop,0,5
If I Could Change Your Mind,3:50,HAIM,Days Are Gone,Alternative,0,5
Want You Back,3:52,HAIM,Something To Tell You,Alternative,0,5
Nothing's Wrong,3:09,HAIM,Something To Tell You,Alternative,0,5
Something To Tell You,4:13,HAIM,Something To Tell You,Alternative,0,5
My Only Child,3:54,The Highwomen,The Highwomen,Country,0,5
Call the Doctor,2:28,J.J. Cale,Naturally,Rock,0,5
Clyde,2:33,J.J. Cale,Naturally,Rock,0,5
Crazy Mama,2:25,J.J. Cale,Naturally,Rock,0,5
Pluto (The Dove Sessions),3:52,Jake Wesley Rogers,The Dove Sessions - Single,Pop,0,5
Let It Go,4:23,James Bay,Chaos and the Calm (Deluxe Edition),Alternative,0,5
Best Fake Smile,3:27,James Bay,Chaos and the Calm (Deluxe Edition),Alternative,0,5
Wait in Line,4:00,James Bay,Chaos and the Calm (Deluxe Edition),Alternative,0,5
Craving (Acoustic Version),3:46,James Bay,Craving (Acoustic) - Single,Alternative,0,5
Running,3:38,James Bay,Other Sides - EP,Singer/Songwriter,0,5
Her Town Too,4:33,James Taylor,"Greatest Hits, Vol. 2",Pop,0,5
You Can Close Your Eyes (Live),3:09,James Taylor,One Man Band (Live),Rock,0,5
The Middle,2:46,Jimmy Eat World,Bleed American,Alternative,0,5
Southbound Train,4:15,Jon Foreman,Limbs & Branches,Christian,0,5
Southbound Train (Live),4:12,Jon Foreman,Roll Tape: Live From Melody League Studios,Alternative,0,5
Self-Preservation,2:02,The Lucksmiths,Why That Doesn't Surprise Me,Alternative,0,5
Epilogue: Paradiso,2:43,Meg Hutchinson,Beyond That,Singer/Songwriter,0,5
San Andreas,4:49,Meg Hutchinson,The Crossing,Singer/Songwriter,0,5
More,3:34,Meg Hutchinson,The Crossing,Singer/Songwriter,0,5
Quite the Way,4:14,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,5
How Many Miles,4:16,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,5
All the Leaving,4:19,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,5
Intro to Osa,1:23,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,5
Closure (Piano Instrumental),3:10,Minnz Piano,"Evermore: Piano Instrumentals, Vol. 1",Pop,0,5
Right Where You Left Me (Piano Instrumental),3:54,Minnz Piano,"Evermore: Piano Instrumentals, Vol. 2",Pop,0,5
Love Story,4:14,Minnz Piano,Fearless Piano Instrumentals,Pop,0,5
Forever & Always,4:34,Minnz Piano,Fearless Piano Instrumentals,Pop,0,5
Betty (Piano Instrumental),5:06,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 1",Pop,0,5
Mirrorball (Piano Instrumental),3:53,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 2",Pop,0,5
This Is Me Trying (Piano Instrumental),2:40,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 2",Pop,0,5
Peace (Piano Instrumental),4:01,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 2",Pop,0,5
Stay Stay Stay,3:48,Minnz Piano,Red Piano Instrumentals,Pop,0,5
Trailer,3:17,Mudcrutch,Mudcrutch 2,Rock,0,5
I Forgive It All,4:14,Mudcrutch,Mudcrutch 2,Rock,0,5
Pink Light,4:11,MUNA,Saves the World,Alternative,0,5
Feel Again,3:05,OneRepublic,Native (Deluxe),Pop,0,5
Preacher,4:08,OneRepublic,Native (Deluxe),Pop,0,5
Keep Us,4:42,Peter Bradley Adams,Leavetaking,Country,0,5
A Song of Ice and Fire,2:12,Ramin Djawadi,Game of Thrones: Season 8 (Music from the HBO Series),Soundtrack,0,5
Make Magic,5:07,Rising Appalachia,Leylines,Folk,0,5
Sassafras,4:01,Rising Appalachia,Leylines,Folk,0,5
Resilient (Full Band),5:46,Rising Appalachia,Leylines,Folk,0,5
Swoon Remixed,4:42,Rising Appalachia,The Sails of Self,Worldwide,0,5
Cripple Creek,4:52,Rising Appalachia,Wider Circles,Traditional Folk,0,5
Wider Circles,5:13,Rising Appalachia,Wider Circles,Traditional Folk,0,5
Stromboli,4:45,Rising Appalachia,Wider Circles,Traditional Folk,0,5
Take Me Away,4:51,St. Lucia,Utopia,Indie Pop,0,5
Old Guitar,3:58,The Steel Wheels,Leave Some Things Behind,Singer/Songwriter,0,5
Promised Land,3:08,The Steel Wheels,Leave Some Things Behind,Singer/Songwriter,0,5
Riverside (Live),4:11,The Steel Wheels,The Steel Wheels (Live at Goose Creek),Country,0,5
Love You Like I Should / Dragging Your Heels (Live),5:02,The Steel Wheels,The Steel Wheels (Live at Goose Creek),Country,0,5
Second of May (Live),4:22,The Steel Wheels,The Steel Wheels (Live at Goose Creek),Country,0,5
Long Way to Go (Live),6:23,The Steel Wheels,The Steel Wheels (Live at Goose Creek),Country,0,5
Sing Me Like a Folk Song,3:20,The Steel Wheels,Wild As We Came Here,Singer/Songwriter,0,5
Gold Dust Woman (Live 1981),6:40,Stevie Nicks,Bella Donna (Deluxe Edition),Rock,0,5
How Still My Love (Live 1981),5:13,Stevie Nicks,Bella Donna (Deluxe Edition),Rock,0,5
I Can't Wait,4:36,Stevie Nicks,Crystal Visions... The Very Best of Stevie Nicks (Bonus Version),Rock,0,5
"Landslide (Live with the Melbourne Symphony, 2006)",4:14,Stevie Nicks,Crystal Visions... The Very Best of Stevie Nicks (Bonus Version),Rock,0,5
Stand Back,4:48,Stevie Nicks,Crystal Visions... The Very Best of Stevie Nicks (Bonus Version),Rock,0,5
Doing the Best I Can (Escape from Berlin),5:36,Stevie Nicks,The Other Side of the Mirror,Rock,0,5
Sara (Live from Soundstage),6:57,Stevie Nicks,The Soundstage Sessions: Stevie Nicks (Live),Rock,0,5
Crystal (Remaster),5:54,Stevie Nicks,Stand Back,Pop,0,5
Blue Denim,4:24,Stevie Nicks,Street Angel,Rock,0,5
Greta,4:21,Stevie Nicks,Street Angel,Rock,0,5
Destiny,5:02,Stevie Nicks,Street Angel,Rock,0,5
Rose Garden,4:29,Stevie Nicks,Street Angel,Rock,0,5
I Need To Know (Live),2:20,Stevie Nicks,Up Close & Live (Live),Rock,0,5
Leather and Lace,3:49,Stevie Nicks & Don Henley,Timespace: The Best of Stevie Nicks,Rock,0,5
All Too Well (10 Minute Version) (Taylor's Version) [Live Acoustic],9:31,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) [Live Acoustic] - Single,Pop,0,5
Don’t You (Taylor’s Version) [From The Vault],3:29,Taylor Swift,Fearless (Taylor’s Version): The From The Vault Chapter - EP,Country,0,5
Bye Bye Baby (Taylor’s Version) [From The Vault],4:02,Taylor Swift,Fearless (Taylor’s Version): The From The Vault Chapter - EP,Country,0,5
Mean,3:58,Taylor Swift,Speak Now,Country,0,5
Enchanted,5:52,Taylor Swift,Speak Now,Country,0,5
Down South,3:27,Tom Petty,Highway Companion,Rock,0,5
Big Weekend,3:15,Tom Petty,Highway Companion,Rock,0,5
Night Driver,4:28,Tom Petty,Highway Companion,Rock,0,5
Honey Bee,4:58,Tom Petty,Wildflowers,Rock,0,5
You Don't Know How It Feels,4:48,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,5
Something Could Happen,4:35,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,5
You Don't Know How It Feels (Home Recording),4:41,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,5
A Feeling of Peace (Home Recording),4:32,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,5
Crawling Back to You (Live),5:07,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,5
"Louisiana Rain (Alternate Version, 1979)",5:05,Tom Petty & The Heartbreakers,An American Treasure,Rock,0,5
"Gainesville (Outtake, 1998)",4:05,Tom Petty & The Heartbreakers,An American Treasure,Rock,0,5
Down South,3:25,Tom Petty & The Heartbreakers,An American Treasure,Rock,0,5
"Southern Accents (Live at Stephen C. O'Connell Center, Gainesville, FL, 9/21/06)",5:02,Tom Petty & The Heartbreakers,An American Treasure,Rock,0,5
Refugee (Alternate Take),4:32,Tom Petty & The Heartbreakers,Damn the Torpedoes,Rock,0,5
Rhino Skin,3:57,Tom Petty & The Heartbreakers,Echo,Rock,0,5
I Just Want to Make Love to You (Live),3:55,Tom Petty & The Heartbreakers,The Live Anthology,Rock,0,5
Lost Without You (Live),6:56,Tom Petty & The Heartbreakers,The Live Anthology,Rock,0,5
Diddy Wah Diddy (Live),2:56,Tom Petty & The Heartbreakers,The Live Anthology,Rock,0,5
I Won't Back Down (Live),3:27,Tom Petty & The Heartbreakers,The Live Anthology,Rock,0,5
"It Ain't Nothin' to Me (Live at The Wiltern, 1985)",6:14,Tom Petty & The Heartbreakers,Pack Up the Plantation: Live!,Rock,0,5
Angel Dream (No. 2),2:27,Tom Petty & The Heartbreakers,She's the One (Songs and Music from the Motion Picture),Rock,0,5
When I Reach the Place I'm Going,3:18,Tracy Grammer,The Verdant Mile,Singer/Songwriter,0,5
Last Night,3:51,The Traveling Wilburys,"The Traveling Wilburys, Vol. 1 (Remastered)",Rock,0,5
fire on your house,3:45,Trevor Hall,IN AND THROUGH THE BODY (DELUXE EDITION),Alternative,0,5
Bird Song,3:33,The Wailin' Jennys,Bright Morning Stars,Singer/Songwriter,0,5
Light of a Clear Blue Morning,4:27,The Wailin' Jennys,Fifteen,Singer/Songwriter,0,5
Firecracker,3:51,The Wailin' Jennys,Firecracker,Singer/Songwriter,0,5
Back Home,3:56,Yellowcard,Ocean Avenue,Rock,0,5
Chasing Stars (feat. James Bay) [VIP Mix],2:49,Alesso & Marshmello,Chasing Stars (VIP Mix) [feat. James Bay] - Single,Dance,0,4
Song for You,4:17,Alexi Murdoch,Four Songs - EP,Singer/Songwriter,0,4
(Début),1:27,Anberlin,Cities,Rock,0,4
(*Fin),8:53,Anberlin,Cities,Rock,0,4
You Belong Here,4:22,Anberlin,"Dark Is the Way, Light Is a Place",Alternative,0,4
To the Wolves,3:31,Anberlin,"Dark Is the Way, Light Is a Place",Alternative,0,4
All We Have,3:32,Anberlin,"Dark Is the Way, Light Is a Place",Alternative,0,4
Like a Rolling Stone,3:44,Anberlin,Lost Songs,Alternative,0,4
Naive Orleans (Acoustic),3:40,Anberlin,Lost Songs,Alternative,0,4
The Unwinding Cable Car (AOL Sessions),4:29,Anberlin,Lost Songs,Alternative,0,4
A Perfect Tourniquet,3:13,Anberlin,New Surrender,Alternative,0,4
Blame Me! Blame Me! (Intro),0:30,Anberlin,Paper Tigers,Alternative,0,4
Blame Me! Blame Me!,3:08,Anberlin,Paper Tigers,Alternative,0,4
Feel Good Drag,3:12,Anberlin,Paper Tigers,Alternative,0,4
Disappear,3:27,Anberlin,Paper Tigers,Alternative,0,4
"Audrey, Start the Revolution!",3:23,Anberlin,Tear Us Apart,Alternative,0,4
Sing Out,3:21,Anchor & Braille,Felt,Alternative,0,4
Keep Dancin',3:11,Anchor & Braille,Songs for the Late Night Drive Home,Alternative,0,4
Across the Universe,3:38,The Beatles,Let It Be... Naked,Rock,0,4
Old Pine,5:29,Ben Howard,Every Kingdom,Singer/Songwriter,0,4
Not About Angels,3:10,Birdy,Earth: Taurus' Songs - EP,Soundtrack,0,4
Little Blue,3:04,Birdy,Earth: Taurus' Songs - EP,Alternative,0,4
Voyager,4:26,Birdy,Young Heart,Alternative,0,4
The Otherside,3:27,Birdy,Young Heart,Alternative,0,4
Lighthouse,3:33,Birdy,Young Heart,Alternative,0,4
Hard Way Home,3:21,Brandi Carlile,Bear Creek,Singer/Songwriter,0,4
Every Time I Hear That Song,4:01,Brandi Carlile,"By The Way, I Forgive You",Singer/Songwriter,0,4
The Joke,4:39,Brandi Carlile,"By The Way, I Forgive You",Singer/Songwriter,0,4
Mainstream Kid,4:19,Brandi Carlile,The Firewatcher’s Daughter,Singer/Songwriter,0,4
Alibi,3:01,Brandi Carlile,The Firewatcher’s Daughter,Singer/Songwriter,0,4
The Stranger at My Door,3:42,Brandi Carlile,The Firewatcher’s Daughter,Singer/Songwriter,0,4
Dreams,3:32,Brandi Carlile,Give Up the Ghost,Singer/Songwriter,0,4
This Time Tomorrow,3:26,Brandi Carlile,In These Silent Days,Singer/Songwriter,0,4
Broken Horses,5:04,Brandi Carlile,In These Silent Days,Singer/Songwriter,0,4
Letter To The Past,3:41,Brandi Carlile,In These Silent Days,Singer/Songwriter,0,4
Mama Werewolf,3:42,Brandi Carlile,In These Silent Days,Singer/Songwriter,0,4
Stay Gentle,2:28,Brandi Carlile,In These Silent Days,Singer/Songwriter,0,4
"Sinners, Saints and Fools",4:32,Brandi Carlile,In These Silent Days,Singer/Songwriter,0,4
Throwing Good After Bad,4:08,Brandi Carlile,In These Silent Days,Singer/Songwriter,0,4
Have You Ever,2:33,Brandi Carlile,The Story,Singer/Songwriter,0,4
Silver Droplet,4:18,Chris Pandolfi,Trad Plus Presents Trance Banjo,Bluegrass,0,4
Back in the Ring,5:07,Chris Pureka,Back in the Ring,Singer/Songwriter,0,4
Blind Man's Waltz,5:43,Chris Pureka,Back in the Ring,Singer/Songwriter,0,4
Holy (Live),5:00,Chris Pureka,"Live at Jammin' Java, Vienna, VA (April 17th, 2016)",Alternative Folk,0,4
Wayside - Back In Time,2:45,Chris Thile,How to Grow a Woman from the Ground,Singer/Songwriter,0,4
Bury It,3:09,CHVRCHES,Every Open Eye,Alternative,0,4
June Hymn,3:58,The Decemberists,The King Is Dead,Adult Alternative,0,4
English Rose,3:04,Ed Sheeran,x (Wembley Edition),Pop,0,4
Over My Head (Early Take),2:58,Fleetwood Mac,Fleetwood Mac (Deluxe),Rock,0,4
Silver Springs (Live),5:24,Fleetwood Mac,Live In Boston,Pop,0,4
Little of Your Love,3:34,HAIM,Something To Tell You,Alternative,0,4
Kept Me Crying,3:56,HAIM,Something To Tell You,Alternative,0,4
Found It In Silence,4:24,HAIM,Something To Tell You,Alternative,0,4
Right Now,4:15,HAIM,Something To Tell You,Alternative,0,4
Summer Girl (Bonus Track),3:25,HAIM,Women In Music Pt. III,Alternative,0,4
From Eden,3:42,Hozier,From Eden - EP,Alternative,0,4
Bringing It Back,2:46,J.J. Cale,Naturally,Rock,0,4
Get Out While You Can,4:42,James Bay,Chaos and the Calm (Deluxe Edition),Alternative,0,4
Need the Sun to Break,3:46,James Bay,Chaos and the Calm (Deluxe Edition),Alternative,0,4
Running,3:38,James Bay,Chaos and the Calm (Deluxe Edition),Singer/Songwriter,0,4
Chew On My Heart (Acoustic),3:17,James Bay,Chew On My Heart (Piano & Voice) - EP,Alternative,0,4
Handy Man,3:16,James Taylor,"Greatest Hits, Vol. 2",Pop,0,4
Copperline,4:20,James Taylor,"Greatest Hits, Vol. 2",Pop,0,4
Sweet Thing (Live),10:36,Jeff Buckley,Live At Sin-é (Legacy Edition) [Audio Version],Alternative,0,4
Rowing,1:42,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),Soundtrack,0,4
The Dreams That Stuff Is Made Of,1:52,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),Soundtrack,0,4
The Stairs,1:08,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),Soundtrack,0,4
Rowing - Alternative Version,0:38,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),Soundtrack,0,4
Five Hundred Miles,3:27,"Justin Timberlake, Carey Mulligan & Stark Sands",Inside Llewyn Davis (Original Soundtrack Recording),Soundtrack,0,4
Feels Like This,3:43,Maisie Peters,Dressed Too Nice For a Jacket - EP,Pop,0,4
Glowing Review,2:56,Maisie Peters,Trying: Season 2 (Apple TV+ Original Series Soundtrack),Soundtrack,0,4
Any Given Day,4:39,Meg Hutchinson,Any Given Day (Live Remastered),Singer/Songwriter,0,4
Beyond That,4:23,Meg Hutchinson,Beyond That,Singer/Songwriter,0,4
Turned To You,3:39,Meg Hutchinson,Beyond That,Singer/Songwriter,0,4
Everything More Beautiful,4:56,Meg Hutchinson,Beyond That,Singer/Songwriter,0,4
Somewhere,3:28,Meg Hutchinson,Come Up Full,Singer/Songwriter,0,4
Come Up Full,4:22,Meg Hutchinson,Come Up Full,Singer/Songwriter,0,4
My Best,4:54,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,4
Small Bodies,4:46,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,4
Blessed,3:59,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,4
How to Be a Poet,1:14,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,4
Outro,0:15,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,4
I'd Like to Know,4:07,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,4
Making You a Place,4:46,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,4
True North,5:08,Meg Hutchinson,True North,Singer/Songwriter,0,4
Coney Island (Piano Instrumental),5:18,Minnz Piano,"Evermore: Piano Instrumentals, Vol. 2",Pop,0,4
It's Time to Go (Piano Instrumental),4:10,Minnz Piano,"Evermore: Piano Instrumentals, Vol. 2",Pop,0,4
White Horse,4:32,Minnz Piano,Fearless Piano Instrumentals,Pop,0,4
Cardigan (Piano Instrumental),3:40,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 1",Pop,0,4
The Last Great American Dynasty (Piano Instrumental),3:40,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 1",Pop,0,4
Exile (Piano Instrumental),5:11,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 1",Pop,0,4
The Lakes (Piano Instrumental),3:32,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 2",Pop,0,4
Seven (Piano Instrumental),3:49,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 2",Pop,0,4
"jealousy, jealousy",2:53,Olivia Rodrigo,SOUR,Pop,0,4
Fare Thee Well (Dink's Song),3:00,Oscar Isaac & Marcus Mumford,Inside Llewyn Davis (Original Soundtrack Recording),Soundtrack,0,4
Main Title (From Game of Thrones: Season 8),1:52,Ramin Djawadi,Game of Thrones: Season 8 (Music from the HBO Series),Soundtrack,0,4
Arrival at Winterfell,3:44,Ramin Djawadi,Game of Thrones: Season 8 (Music from the HBO Series),Soundtrack,0,4
Flight of Dragons,2:52,Ramin Djawadi,Game of Thrones: Season 8 (Music from the HBO Series),Soundtrack,0,4
Heir to the Throne,2:27,Ramin Djawadi,Game of Thrones: Season 8 (Music from the HBO Series),Soundtrack,0,4
A Knight of the Seven Kingdoms,2:00,Ramin Djawadi,Game of Thrones: Season 8 (Music from the HBO Series),Soundtrack,0,4
Nothing Else Matters,2:06,Ramin Djawadi,Game of Thrones: Season 8 (Music from the HBO Series),Soundtrack,0,4
The Iron Throne,5:40,Ramin Djawadi,Game of Thrones: Season 8 (Music from the HBO Series),Soundtrack,0,4
Seasons Of Love,3:03,Rent,Rent (Selections from the Original Motion Picture Soundtrack),Soundtrack,0,4
One Song Glory,2:47,Rent,Rent (Selections from the Original Motion Picture Soundtrack),Soundtrack,0,4
Indigo Dance (feat. Maurice Turner),3:26,Rising Appalachia,Leylines,Folk,0,4
SuNu,5:05,Rising Appalachia,The Sails of Self,Worldwide,0,4
Caminando Remixed,3:26,Rising Appalachia,The Sails of Self,Worldwide,0,4
Spirit's Cradle,4:44,Rising Appalachia,Wider Circles,Traditional Folk,0,4
Bright Morning Stars / Botawak,6:37,Rising Appalachia,Wider Circles,Traditional Folk,0,4
Middle Distance Runner,3:28,Sea Wolf,Leaves in the River,Alternative,0,4
So Lonely,4:10,The Steel Wheels,Leave Some Things Behind,Singer/Songwriter,0,4
Heaven Don't Come by Here,3:59,The Steel Wheels,Leave Some Things Behind,Singer/Songwriter,0,4
Mountains Quake,2:01,The Steel Wheels,Leave Some Things Behind,Singer/Songwriter,0,4
At Long Last (Live),2:37,The Steel Wheels,The Steel Wheels (Live at Goose Creek),Country,0,4
With It All Stripped Away (Live),2:29,The Steel Wheels,Volume 1: Live at the Station Inn,Americana,0,4
Mountains Quake (Live),1:53,The Steel Wheels,Volume 2: Live at the Jefferson Theater,Americana,0,4
To the Wild,4:12,The Steel Wheels,Wild As We Came Here (Deluxe Edition),Singer/Songwriter,0,4
Sorcerer,4:55,Stevie Nicks,Crystal Visions... The Very Best of Stevie Nicks (Bonus Version),Rock,0,4
If Anyone Falls In Love,4:07,Stevie Nicks,Crystal Visions... The Very Best of Stevie Nicks (Bonus Version),Rock,0,4
Dreams (with Deep Dish),3:47,Stevie Nicks,Crystal Visions... The Very Best of Stevie Nicks (Bonus Version),Rock,0,4
Annabel Lee,5:59,Stevie Nicks,In Your Dreams,Rock,0,4
Circle Dance (Live) [Remaster],4:14,Stevie Nicks,Stand Back,Rock,0,4
Maybe Love Will Change Your Mind,4:19,Stevie Nicks,Street Angel,Rock,0,4
Jane,4:59,Stevie Nicks,Street Angel,Rock,0,4
Mabel Normand,4:54,Stevie Nicks,24 Karat Gold: Songs from the Vault (Deluxe Version),Rock,0,4
24 Karat Gold,4:09,Stevie Nicks,24 Karat Gold: Songs from the Vault (Deluxe Version),Rock,0,4
Street Angel,4:11,Stevie Nicks with David Crosby,Street Angel,Rock,0,4
Treacherous (Original Demo Recording),4:00,Taylor Swift,Red (Deluxe Edition),Country,0,4
Last Kiss,6:07,Taylor Swift,Speak Now,Country,0,4
Mine (US Version),3:51,Taylor Swift,Speak Now (Deluxe Edition),Country,0,4
Back to December (US Version),4:53,Taylor Swift,Speak Now (Deluxe Edition),Country,0,4
The Story of Us (US Version),4:26,Taylor Swift,Speak Now (Deluxe Edition),Country,0,4
Better Than Revenge,3:37,Taylor Swift,Speak Now (Deluxe Edition),Pop,0,4
Long Live,5:17,Taylor Swift,Speak Now (Deluxe Edition),Pop,0,4
Mine,3:50,Taylor Swift,Speak Now (Deluxe Edition),Pop,0,4
willow,4:12,Taylor Swift,willow (the witch collection) - EP,Alternative,0,4
Flirting with Time,3:16,Tom Petty,Highway Companion,Rock,0,4
This Old Town,4:16,Tom Petty,Highway Companion,Rock,0,4
House In the Woods,5:30,Tom Petty,Wildflowers,Rock,0,4
Only a Broken Heart,4:28,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,4
Hard On Me,3:47,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,4
Crawling Back to You,5:03,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,4
Harry Green,3:53,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,4
Somewhere Under Heaven,4:36,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,4
Honey Bee (Live),5:21,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,4
House In the Woods (Live),5:37,Tom Petty,Wildflowers & All the Rest (Super Deluxe Edition),Rock,0,4
"Anything That's Rock 'N' Roll (Live at Capitol Studios, Hollywood, CA, 11/11/77)",3:38,Tom Petty & The Heartbreakers,An American Treasure,Rock,0,4
"Clear the Aisles (Live at the Forum, Inglewood, CA, 6/28/81)",0:16,Tom Petty & The Heartbreakers,An American Treasure,Rock,0,4
"Deliver Me (Alternate Version, 1982)",3:55,Tom Petty & The Heartbreakers,An American Treasure,Rock,0,4
"Saving Grace (Live at Malibu Performing Arts Center, Malibu, CA, 7/26/06)",3:31,Tom Petty & The Heartbreakers,An American Treasure,Rock,0,4
Angel Dream (No. 2),2:26,Tom Petty & The Heartbreakers,The Best of Everything: The Definitive Career Spanning Hits Collection 1976-2016,Rock,0,4
For Real,3:52,Tom Petty & The Heartbreakers,The Best of Everything: The Definitive Career Spanning Hits Collection 1976-2016,Rock,0,4
Nowhere,3:38,Tom Petty & The Heartbreakers,Damn the Torpedoes,Rock,0,4
Ladies and Gentlemen... (Live),1:17,Tom Petty & The Heartbreakers,The Live Anthology,Rock,0,4
I'm In Love (Live),3:55,Tom Petty & The Heartbreakers,The Live Anthology,Rock,0,4
It's Good to Be King (Live),12:15,Tom Petty & The Heartbreakers,The Live Anthology,Rock,0,4
Mary Jane's Last Dance (Live from Gainsville),5:45,Tom Petty & The Heartbreakers,The Live Anthology,Rock,0,4
Angel Dream (No. 4),2:27,Tom Petty & The Heartbreakers,She's the One (Songs and Music from the Motion Picture),Rock,0,4
Hope You Never,3:03,Tom Petty & The Heartbreakers,She's the One (Songs and Music from the Motion Picture),Rock,0,4
Adrienna Valentine,5:01,Trent Wagler & Jay Lapp,Adrienna Valentine,Country,0,4
Shady Grove,3:29,Trent Wagler and The Steel Wheels,Blue Heaven,Country,0,4
All In Due Time,3:45,Trevor Hall,KALA (Deluxe Edition),Rock,0,4
Mona Louise,3:55,The Wailin' Jennys,Bright Morning Stars,Singer/Songwriter,0,4
Apocalypse Lullaby,4:10,The Wailin' Jennys,Firecracker,Singer/Songwriter,0,4
Long Time Traveller,2:10,The Wailin' Jennys,Firecracker,Singer/Songwriter,0,4
Some Good Thing,3:17,The Wailin' Jennys,Firecracker,Singer/Songwriter,0,4
Miles Apart,3:32,Yellowcard,Ocean Avenue,Rock,0,4
"One Year, Six Months",3:29,Yellowcard,Ocean Avenue,Rock,0,4
Bombers,3:29,Yellowcard,Paper Walls,Rock,0,4
The Imitation Game,2:37,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
Enigma,2:51,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
Alan,2:57,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
U-Boats,2:13,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
Carrots and Peas,2:19,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
Mission,1:37,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
Crosswords,2:53,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
Night Research,1:40,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
Running,3:01,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
A Different Equation,2:55,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
Alan Turing's Legacy,1:57,Alexandre Desplat & London Symphony Orchestra,The Imitation Game (Original Motion Picture Soundtrack),Soundtrack,0,3
Slumber My Darling,4:53,"Alison Krauss, Edgar Meyer, Yo-Yo Ma & Mark O'Connor",Appalachian Journey,Classical,0,3
Reclusion,3:31,Anberlin,Cities,Rock,0,3
Godspeed (Live),5:08,Anberlin,Cities - Live in New York City,Alternative,0,3
I'd Like To Die (Live),4:36,Anberlin,Live From Williamsburg,Alternative,0,3
Naive Orleans (Live),4:05,Anberlin,Live From Williamsburg,Alternative,0,3
Impossible (Live),5:46,Anberlin,Live From Williamsburg,Alternative,0,3
Dismantle. Repair (Acoustic),4:34,Anberlin,Lost Songs,Alternative,0,3
