Title,Time,Artist,Album,Genre,Heart,Plays
Bella Donna (Demo),3:33,Stevie Nicks,Bella Donna (Deluxe Edition),Rock,0,29
Secret Love,3:16,Stevie Nicks,In Your Dreams,Rock,0,29
Fearless (Taylor’s Version),4:02,Taylor Swift,Fearless (Taylor's Version),Country,0,29
this is me trying,3:15,Taylor Swift,folklore,Alternative,0,29
peace,3:54,Taylor Swift,folklore,Alternative,0,29
cardigan,4:00,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,29
Everything Has Changed (Taylor's Version) [feat. Ed Sheeran],4:05,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,29
A Mind with a Heart of Its Own,3:29,Tom Petty,Full Moon Fever,Rock,0,29
"Keep a Little Soul (Outtake, 1982)",3:11,Tom Petty & The Heartbreakers,An American Treasure,Rock,0,29
Runaway Trains,5:13,Tom Petty & The Heartbreakers,Let Me Up (I've Had Enough),Rock,0,29
See You Again (feat. Charlie Puth),3:50,Wiz Khalifa,Furious 7 (Original Motion Picture Soundtrack),Hip-Hop/Rap,0,29
Heavier Things Remain (Graviora Manent),3:29,Anberlin,New Surrender,Alternative,0,28
I'm On Fire,2:39,Bruce Springsteen,Born In the U.S.A.,Rock,0,28
Helpless,4:14,Chris Pureka,The Longest Year,Alternative Folk,0,28
Leaves Fall,4:21,Chris Thile,Stealing Second,Country,0,28
Bare Trees,5:06,Fleetwood Mac,Bare Trees,Pop,0,28
Sentimental Lady,4:36,Fleetwood Mac,Bare Trees,Pop,0,28
"Better Love (From ""The Legend of Tarzan"")",3:13,Hozier,"Better Love (From ""The Legend of Tarzan"") - Single",Alternative,0,28
To Be Alone,5:24,Hozier,Hozier (Bonus Track Version),Alternative,0,28
Us,3:01,James Bay,Electric Light,Alternative,0,28
Outdoor Pool,3:17,Maisie Peters,You Signed Up For This (Apple Music Up Next Film Edition),Pop,0,28
Boy,2:58,Maisie Peters,You Signed Up For This (Apple Music Up Next Film Edition),Pop,0,28
dorothea,3:46,Taylor Swift,evermore (deluxe version),Alternative,0,28
22 (Taylor's Version),3:51,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,28
We Are Never Ever Getting Back Together (Taylor's Version),3:13,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,28
Starlight (Taylor's Version),3:40,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,28
The Moment I Knew (Taylor's Version),4:45,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,28
Songbird Blues,2:46,Chris Pureka,The Longest Year,Alternative Folk,0,27
Airplane Man,4:16,Chris Pureka,The Longest Year,Alternative Folk,0,27
Don't Stop,3:13,Fleetwood Mac,Rumours,Rock,0,27
Nobody,3:31,Hozier,"Wasteland, Baby!",Alternative,0,27
Talk,3:27,Hozier,"Wasteland, Baby!",Alternative,0,27
Sunlight,4:17,Hozier,"Wasteland, Baby!",Alternative,0,27
Loudspeaker,3:30,MUNA,About U,Alternative,0,27
